	urls
83	https://www.cars-data.com/en/toyota-proace-l1h1-1-6d-90-comfort-specs/163231
84	https://www.cars-data.com/en/nissan-sunny-wagon-1-6-lx-specs/28233
85	https://www.cars-data.com/en/ford-mondeo-1-6-ambiente-specs/15473
86	https://www.cars-data.com/en/honda-civic-coupe-1-6i-ls-specs/16933
87	https://www.cars-data.com/en/audi-a3-1-6-attraction-specs/1568
88	https://www.cars-data.com/en/citroen-c4-coupe-1-4-16v-seduction-specs/9821
89	https://www.cars-data.com/en/bmw-i8-roadster-specs/80560
90	https://www.cars-data.com/en/volvo-v90-b4-business-pro-specs/177021
91	https://www.cars-data.com/en/renault-talisman-estate-tce-140-business-zen-specs/151002
92	https://www.cars-data.com/en/alfa-romeo-spider-2-0-specs/928
93	https://www.cars-data.com/en/audi-rs6-5-0-tfsi-quattro-specs/3912
94	https://www.cars-data.com/en/morgan-aero-supersports-specs/26913
95	https://www.cars-data.com/en/bmw-x2-sdrive18i-specs/80575
96	https://www.cars-data.com/en/saab-9-5-estate-2-0-t-specs/42573
97	https://www.cars-data.com/en/bmw-i3-94ah-specs/80550
98	https://www.cars-data.com/en/volvo-v90-cross-country-b5-awd-pro-specs/177033
99	https://www.cars-data.com/en/ford-focus-1-4-16v-trend-specs/14232
100	https://www.cars-data.com/en/mazda-3-sedan-1-6-s-vt-touring-specs/20992
101	https://www.cars-data.com/en/opel-antara-2-4-edition-2x4-specs/28401
102	https://www.cars-data.com/en/citroen-c3-aircross-puretech-82-live-specs/80677
103	https://www.cars-data.com/en/ford-ka-1-2-trend-essential-specs/81001
104	https://www.cars-data.com/en/ds-3-cabrio-puretech-82-chic-specs/84530
105	https://www.cars-data.com/en/suzuki-baleno-1-6-sport-specs/46920
106	https://www.cars-data.com/en/peugeot-207-xr-1-4-specs/34650
107	https://www.cars-data.com/en/ferrari-550-maranello-specs/59245
108	https://www.cars-data.com/en/hyundai-santa-fe-2-2-crdi-r-2wd-comfort-specs/76080
109	https://www.cars-data.com/en/opel-monza-2-5i-specs/71134
110	https://www.cars-data.com/en/audi-a5-coupe-1-8-tfsi-160hp-specs/3396
111	https://www.cars-data.com/en/citroen-c8-2-0i-16v-prestige-specs/10296
112	https://www.cars-data.com/en/kia-sephia-1-5-rs-specs/19358
113	https://www.cars-data.com/en/hyundai-getz-1-1i-activeversion-specs/17393
114	https://www.cars-data.com/en/mitsubishi-galant-1-8-gli-specs/26450
115	https://www.cars-data.com/en/fiat-stilo-1-4-16v-active-specs/12709
116	https://www.cars-data.com/en/peugeot-407-coupe-reference-2-2-16v-specs/36292
117	https://www.cars-data.com/en/chevrolet-camaro-convertible-2-0-i4-specs/80629
118	https://www.cars-data.com/en/volkswagen-passat-1-6-specs/51624
119	https://www.cars-data.com/en/daihatsu-cuore-sti-12v-specs/11343
120	https://www.cars-data.com/en/ssangyong-rexton-xvt-sapphire-specs/159758
121	https://www.cars-data.com/en/donkervoort-d8-zetec-specs/11585
122	https://www.cars-data.com/en/daihatsu-charade-1-3-cti-specs/11243
123	https://www.cars-data.com/en/toyota-corolla-1-3-specs/48325
124	https://www.cars-data.com/en/ford-ranger-double-cab-2-2-tdci-xl-specs/70383
125	https://www.cars-data.com/en/mg-zs-ev-comfort-specs/128548
126	https://www.cars-data.com/en/ssangyong-rodius-sv-270j-specs/46361
127	https://www.cars-data.com/en/suzuki-swift-1-0-specs/47164
128	https://www.cars-data.com/en/nissan-patrol-gr-3-0-di-turbo-comfort-plus-specs/27573
129	https://www.cars-data.com/en/bmw-316i-specs/5598
130	https://www.cars-data.com/en/alfa-romeo-75-1-6-i-e-specs/768
131	https://www.cars-data.com/en/honda-cr-v-2-0-i-vtec-comfort-specs/16981
132	https://www.cars-data.com/en/land-rover-freelander-station-wagon-1-8-e-specs/20432
133	https://www.cars-data.com/en/volvo-xc90-2-5t-specs/58154
134	https://www.cars-data.com/en/mercury-sable-stationwagon-gs-specs/59812
135	https://www.cars-data.com/en/spectre-r42-specs/59856
136	https://www.cars-data.com/en/renault-clio-1-2-authentique-basis-specs/37610
137	https://www.cars-data.com/en/toyota-celica-coupe-1-6-st-specs/48059
138	https://www.cars-data.com/en/ford-mondeo-wagon-1-6i-mirage-specs/15512
139	https://www.cars-data.com/en/hyundai-lantra-1-5i-gl-specs/17752
140	https://www.cars-data.com/en/hyundai-pony-combi-1400-e-specs/17895
141	https://www.cars-data.com/en/daewoo-nexia-1-5-gl-specs/11140
142	https://www.cars-data.com/en/fiat-punto-1-2-specs/12496
143	https://www.cars-data.com/en/suzuki-grand-vitara-1-6-base-specs/46974
144	https://www.cars-data.com/en/jaguar-xf-20t-pure-specs/73207
145	https://www.cars-data.com/en/hyundai-i30-wagon-1-0-t-gdi-i-drive-specs/81125
146	https://www.cars-data.com/en/audi-s6-tdi-quattro-specs/93273
147	https://www.cars-data.com/en/mercedes-benz-cls-350-specs/23841
148	https://www.cars-data.com/en/opel-kadett-caravan-1-3-n-ls-specs/31394
149	https://www.cars-data.com/en/mercedes-benz-cl-500-specs/23646
150	https://www.cars-data.com/en/peugeot-partner-tepee-access-1-6-vti-98hp-specs/36685
151	https://www.cars-data.com/en/toyota-corolla-1-3-economic-specs/48090
152	https://www.cars-data.com/en/mitsubishi-lancer-1-3-gli-specs/26608
153	https://www.cars-data.com/en/volvo-c30-1-6-advantage-specs/54815
